Geographic Area Name,total_cases,total_fatalities,death_rate,total_tests
"Clay County, Texas",107.0,2.0,0.018691588785046728,1272
"Cochran County, Texas",99.0,1.0,0.010101010101010102,430
"Coke County, Texas",109.0,5.0,0.045871559633027525,948
"Coleman County, Texas",88.0,4.0,0.045454545454545456,1185
"Collin County, Texas",17611.0,175.0,0.009936971211174834,305891
"Collingsworth County, Texas",21.0,0.0,0.0,563
"Colorado County, Texas",499.0,4.0,0.008016032064128256,6213
"Comal County, Texas",2841.0,106.0,0.037310806054206266,36641
"Comanche County, Texas",354.0,5.0,0.014124293785310734,3159
"Concho County, Texas",142.0,2.0,0.014084507042253521,846
"Cooke County, Texas",539.0,9.0,0.016697588126159554,8845
"Coryell County, Texas",1962.0,13.0,0.006625891946992864,40169
"Cottle County, Texas",35.0,3.0,0.08571428571428572,528
"Crane County, Texas",74.0,3.0,0.04054054054054054,2097
"Crockett County, Texas",166.0,7.0,0.04216867469879518,1100
"Crosby County, Texas",115.0,6.0,0.05217391304347826,1467
"Culberson County, Texas",97.0,2.0,0.020618556701030927,626
"Dallam County, Texas",362.0,10.0,0.027624309392265192,415
"Dallas County, Texas",92197.0,1220.0,0.013232534681171838,919632
"Dawson County, Texas",787.0,17.0,0.021601016518424398,5176
"DeWitt County, Texas",1078.0,44.0,0.04081632653061224,189284
"Deaf Smith County, Texas",1026.0,25.0,0.024366471734892786,4533
"Delta County, Texas",33.0,0.0,0.0,2936
"Denton County, Texas",14157.0,170.0,0.012008193826375645,841
"Dickens County, Texas",51.0,2.0,0.0392156862745098,343
"Dimmit County, Texas",287.0,7.0,0.024390243902439025,2526
"Donley County, Texas",85.0,1.0,0.011764705882352941,798
"Duval County, Texas",486.0,21.0,0.043209876543209874,6844
"Eastland County, Texas",251.0,6.0,0.02390438247011952,2713
"Ector County, Texas",3689.0,95.0,0.025752236378422336,29109
"Edwards County, Texas",71.0,2.0,0.028169014084507043,562
"El Paso County, Texas",38554.0,595.0,0.01543289931005862,55257
"Ellis County, Texas",4875.0,76.0,0.01558974358974359,292857
"Erath County, Texas",1017.0,13.0,0.012782694198623401,7853
"Falls County, Texas",663.0,5.0,0.007541478129713424,6178
"Fannin County, Texas",778.0,18.0,0.02313624678663239,8501
"Fayette County, Texas",519.0,22.0,0.04238921001926782,7062
"Fisher County, Texas",102.0,3.0,0.029411764705882353,493
"Floyd County, Texas",126.0,9.0,0.07142857142857142,1290
"Foard County, Texas",21.0,1.0,0.047619047619047616,166
"Fort Bend County, Texas",17392.0,306.0,0.017594296228150876,242227
"Franklin County, Texas",215.0,7.0,0.03255813953488372,1695
"Freestone County, Texas",458.0,4.0,0.008733624454148471,6601
"Frio County, Texas",1007.0,9.0,0.00893743793445879,7289
"Gaines County, Texas",503.0,11.0,0.02186878727634195,2082
"Galveston County, Texas",12297.0,169.0,0.01374318939578759,155354
"Garza County, Texas",124.0,7.0,0.056451612903225805,1251
"Gillespie County, Texas",359.0,10.0,0.027855153203342618,6249
"Glasscock County, Texas",13.0,0.0,0.0,79
"Goliad County, Texas",157.0,6.0,0.03821656050955414,1584
"Gonzales County, Texas",1111.0,20.0,0.018001800180018002,5337
"Gray County, Texas",450.0,10.0,0.022222222222222223,3962
"Grayson County, Texas",2508.0,68.0,0.02711323763955343,33653
"Gregg County, Texas",2525.0,85.0,0.033663366336633666,24844
"Grimes County, Texas",1174.0,35.0,0.029812606473594547,9631
"Guadalupe County, Texas",3835.0,79.0,0.02059973924380704,28901
"Hale County, Texas",2508.0,61.0,0.024322169059011165,7068
"Hall County, Texas",45.0,1.0,0.022222222222222223,680
"Hamilton County, Texas",194.0,4.0,0.020618556701030927,2147
"Hansford County, Texas",193.0,6.0,0.031088082901554404,1056
"Hardeman County, Texas",63.0,1.0,0.015873015873015872,756
"Hardin County, Texas",1429.0,34.0,0.023792862141357594,10016
"Harris County, Texas",157392.0,2783.0,0.01768196604655891,1547748
"Harrison County, Texas",1068.0,38.0,0.035580524344569285,25539
"Hartley County, Texas",170.0,0.0,0.0,56
"Haskell County, Texas",80.0,3.0,0.0375,1115
"Hays County, Texas",6287.0,74.0,0.011770319707332591,69933
"Hemphill County, Texas",133.0,0.0,0.0,752
"Henderson County, Texas",1217.0,35.0,0.02875924404272802,10971
"Hidalgo County, Texas",34970.0,1676.0,0.047926794395195885,218089
"Hill County, Texas",798.0,16.0,0.020050125313283207,12701
"Hockley County, Texas",632.0,14.0,0.022151898734177215,3682
"Hood County, Texas",1167.0,38.0,0.032562125107112254,13443
"Hopkins County, Texas",609.0,27.0,0.04433497536945813,6579
"Houston County, Texas",417.0,13.0,0.03117505995203837,8545
"Howard County, Texas",1192.0,21.0,0.01761744966442953,5462
"Hudspeth County, Texas",94.0,3.0,0.031914893617021274,770
"Hunt County, Texas",1944.0,44.0,0.02263374485596708,24780
"Hutchinson County, Texas",326.0,7.0,0.02147239263803681,4476
"Irion County, Texas",13.0,0.0,0.0,210
"Jack County, Texas",151.0,3.0,0.019867549668874173,571
"Jackson County, Texas",646.0,16.0,0.02476780185758514,3791
"Jasper County, Texas",512.0,34.0,0.06640625,7605
"Jeff Davis County, Texas",21.0,0.0,0.0,456
"Jefferson County, Texas",8245.0,152.0,0.018435415403274712,89254
"Jim Hogg County, Texas",168.0,6.0,0.03571428571428571,3240
"Jim Wells County, Texas",1566.0,52.0,0.033205619412515965,23923
"Johnson County, Texas",3588.0,64.0,0.017837235228539576,40672
"Jones County, Texas",585.0,2.0,0.003418803418803419,2617
"Karnes County, Texas",949.0,17.0,0.01791359325605901,7882
"Kaufman County, Texas",3499.0,56.0,0.01600457273506716,35096
"Kendall County, Texas",381.0,10.0,0.026246719160104987,8668
"Kenedy County, Texas",11.0,2.0,0.18181818181818182,86
"Kent County, Texas",10.0,0.0,0.0,183
"Kerr County, Texas",693.0,13.0,0.01875901875901876,19225
"Kimble County, Texas",24.0,1.0,0.041666666666666664,1023
"King County, Texas",1.0,0.0,0.0,21
"Kinney County, Texas",73.0,1.0,0.0136986301369863,594
"Kleberg County, Texas",1015.0,52.0,0.05123152709359606,15474
"Knox County, Texas",113.0,9.0,0.07964601769911504,552
"La Salle County, Texas",366.0,13.0,0.03551912568306011,6929
"Lamar County, Texas",1729.0,46.0,0.026604973973395025,2993
"Lamb County, Texas",507.0,24.0,0.047337278106508875,5349
"Lampasas County, Texas",304.0,9.0,0.029605263157894735,3565
"Lavaca County, Texas",1126.0,39.0,0.03463587921847247,6374
"Lee County, Texas",239.0,14.0,0.058577405857740586,3182
"Leon County, Texas",336.0,11.0,0.03273809523809524,3901
"Liberty County, Texas",2283.0,58.0,0.025405168637757335,24660
"Limestone County, Texas",671.0,16.0,0.02384500745156483,9203
"Lipscomb County, Texas",68.0,1.0,0.014705882352941176,167
"Live Oak County, Texas",381.0,10.0,0.026246719160104987,1941
"Llano County, Texas",172.0,3.0,0.01744186046511628,4308
"Loving County, Texas",0.0,0.0,,9
"Lubbock County, Texas",16911.0,165.0,0.00975696292354089,113428
"Lynn County, Texas",163.0,5.0,0.03067484662576687,1887
"Madison County, Texas",753.0,6.0,0.00796812749003984,1028
"Marion County, Texas",170.0,14.0,0.08235294117647059,10893
"Martin County, Texas",89.0,7.0,0.07865168539325842,22399
"Mason County, Texas",80.0,2.0,0.025,1086
