Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Burleson County, Texas",17863,8977,8886,1092,1152,1009,1174,1040,1986,2000,2102,1281,1399,2103,1120,405,42.6
"Jefferson County, Texas",255210,130660,124550,17595,17385,16171,16490,18238,37482,32341,32075,17101,14877,19797,11079,4579,36.0
"Oldham County, Texas",2090,1145,945,117,137,310,258,118,175,220,188,145,128,195,74,25,29.8
"El Paso County, Texas",837654,411682,425972,65182,61152,66845,64636,71442,123364,104799,97217,46419,39134,54577,30595,12292,32.0
"Terrell County, Texas",862,429,433,8,57,32,16,32,73,128,118,48,77,151,79,43,51.9
"Uvalde County, Texas",27009,13083,13926,2006,2037,2012,2176,1954,3511,3090,2859,1267,1562,2560,1630,345,33.9
"Archer County, Texas",8789,4326,4463,430,448,638,563,529,881,976,1282,656,692,908,589,197,44.5
"Hidalgo County, Texas",849389,415443,433946,80050,76370,79880,73722,66114,113177,109326,91054,36396,33050,50543,29323,10384,29.1
"Somervell County, Texas",8743,4192,4551,504,380,771,415,701,1020,956,1163,624,634,950,403,222,40.9
"Haskell County, Texas",5809,3071,2738,243,331,322,366,429,709,740,661,228,519,678,371,212,42.4
"Mills County, Texas",4902,2329,2573,177,314,451,382,167,319,366,592,393,328,711,476,226,50.6
"Newton County, Texas",14057,7233,6824,679,640,898,1416,716,1191,1752,2005,845,1157,1613,872,273,44.3
"Kimble County, Texas",4408,2154,2254,270,203,203,332,160,247,432,440,360,488,701,399,173,52.9
"Van Zandt County, Texas",54368,26619,27749,3030,3341,3852,3741,2836,5606,6153,7182,3684,4005,6347,3620,971,42.9
"Martin County, Texas",5614,2934,2680,468,467,545,443,401,641,606,854,311,223,378,235,42,32.2
"Yoakum County, Texas",8571,4438,4133,783,964,668,468,678,1229,1017,863,621,309,589,318,64,31.2
"Red River County, Texas",12275,5986,6289,518,547,911,818,677,1173,1424,1473,1032,799,1667,917,319,45.6
"Sutton County, Texas",3865,2116,1749,253,299,255,167,232,575,486,373,334,238,405,141,107,38.4
