Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Indian River County, Florida",57403,2988,2751,6583,6729,8208,10695,6709,6579,2486,3675,52336,84405,35172,40580,33514
"Jackson County, Florida",16894,1703,1399,2294,2326,2457,3158,1754,1245,345,213,39002,51417,18882,36774,30636
"Palm Beach County, Florida",548216,32617,21769,53030,53168,71182,95186,63252,75660,34529,47823,59943,94302,37998,47778,40886
"St. Johns County, Florida",86268,3619,2233,5071,6486,9885,14606,10926,15137,8435,9870,77323,107878,41393,64842,47001
"Seminole County, Florida",167304,9552,5536,13860,15080,21029,31087,22471,25434,11430,11825,63760,86617,33419,52552,42227
"Miami-Dade County, Florida",870051,82208,51145,101199,91492,116434,145327,92119,98564,40549,51014,48982,75744,26838,38247,32874
"Bay County, Florida",70199,4814,3858,6931,7327,10980,13186,9075,8859,2876,2293,51829,69260,28017,43702,34967
"Flagler County, Florida",40629,2204,1539,4170,4380,6207,8846,5704,4924,1472,1183,53872,68685,27689,42014,33855
"Franklin County, Florida",4297,378,324,469,548,648,647,482,547,99,155,42855,66555,25037,38306,36964
"Hamilton County, Florida",4485,640,422,630,562,518,895,351,339,29,99,34583,48405,15097,40309,28155
"Liberty County, Florida",2381,230,102,287,459,427,318,199,271,74,14,37363,52360,17197,37841,39911
"Sumter County, Florida",54636,2701,2561,4638,5950,8458,11617,8162,6485,2482,1582,55228,71108,33629,38671,34711
"Gadsden County, Florida",17080,1980,840,2098,2277,2982,3152,1605,1522,411,213,40922,52613,20158,37202,33793
"Holmes County, Florida",7016,691,746,997,828,1059,1198,804,534,63,96,38608,49636,18574,36971,33455
"Lee County, Florida",271861,16873,11478,26419,29204,39161,54029,33559,34368,12656,14114,54691,77846,31924,41346,36930
"Marion County, Florida",136514,9757,7462,18053,18832,22663,27026,14045,11997,3375,3304,43361,58779,24570,37956,33256
"Collier County, Florida",140942,5842,4319,11331,12886,18074,26143,17628,19900,9424,15395,65675,106539,43256,42175,38407
"Orange County, Florida",458613,31309,19572,45084,48923,65913,87057,53072,57164,23905,26614,54335,78465,28859,42516,36397
"Pasco County, Florida",199227,11882,10887,22874,22436,30877,36934,24214,23695,8523,6905,50417,68215,27786,47266,40007
"Highlands County, Florida",41026,3214,2579,6672,6434,6937,7808,3305,2410,849,818,37314,55174,23722,35994,30834
"Suwannee County, Florida",15083,1424,1096,1828,1900,2543,2845,1778,1068,261,340,42686,57639,21755,36708,29180
"DeSoto County, Florida",11996,1010,755,2483,1740,1850,2131,1004,634,231,158,35057,48458,18311,28839,29763
"Calhoun County, Florida",4556,372,374,700,604,753,692,545,398,75,43,38609,53151,18921,34667,33217
"Columbia County, Florida",24985,2092,1602,3017,2944,3938,4735,2685,2570,800,602,44491,62378,23901,40989,35294
"Dixie County, Florida",6520,634,594,937,800,1428,1029,346,447,179,126,38237,51366,20527,40159,35970
"Putnam County, Florida",28264,3053,2631,4426,3799,4540,4651,2283,1860,684,337,35649,48542,19976,37277,29496
"Union County, Florida",3892,409,231,396,584,586,796,547,221,82,40,41770,58432,15475,36137,33415
"Manatee County, Florida",143652,7649,6388,14180,15706,20629,26598,16986,20901,7469,7146,56036,78296,32070,43650,37883
