Geographic Area Name,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_cov_no
"Boone County, Illinois",53224,49863,3361
"Bureau County, Illinois",33010,31390,1620
"Carroll County, Illinois",14376,13498,878
"Coles County, Illinois",51044,47844,3200
"Crawford County, Illinois",17011,15939,1072
"Vermilion County, Illinois",75825,71169,4656
"Clark County, Illinois",15619,14764,855
"Effingham County, Illinois",33773,31937,1836
"Hamilton County, Illinois",8148,7642,506
"Johnson County, Illinois",10342,9970,372
"Livingston County, Illinois",34107,32381,1726
"Tazewell County, Illinois",131396,126519,4877
"Warren County, Illinois",17143,16566,577
"Madison County, Illinois",263088,249528,13560
"Mercer County, Illinois",15465,15095,370
"Alexander County, Illinois",6469,6030,439
"Randolph County, Illinois",28672,27105,1567
"Macon County, Illinois",104085,99018,5067
"Wayne County, Illinois",16435,15192,1243
"Franklin County, Illinois",38660,36128,2532
"McDonough County, Illinois",30498,28948,1550
"Moultrie County, Illinois",14408,12257,2151
"Pope County, Illinois",4084,3941,143
"Shelby County, Illinois",21647,20714,933
"Champaign County, Illinois",207596,197733,9863
"Ford County, Illinois",13000,12185,815
"Kendall County, Illinois",124288,118797,5491
"Marion County, Illinois",37387,34944,2443
"Mason County, Illinois",13572,12926,646
