Geographic Area Name,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races
"Grayson County, Texas",128560,16817,97457,6842,1534,1805,66,201,3838
"Palo Pinto County, Texas",28317,5625,21299,628,161,217,37,19,331
"DeWitt County, Texas",20435,7132,11271,1865,7,1,0,0,159
"Callahan County, Texas",13770,1300,11900,66,11,39,0,0,454
"Gregg County, Texas",123494,22916,71387,24767,377,1641,121,144,2141
"Lubbock County, Texas",301454,105514,162667,20528,1067,6328,182,223,4945
"Kaufman County, Texas",118910,24531,77641,12799,468,1410,46,232,1783
"Floyd County, Texas",5872,3429,2184,164,8,10,0,0,77
"Chambers County, Texas",40292,8793,27186,3158,85,506,0,0,564
"Bell County, Texas",342236,83630,158804,72677,1066,9767,2156,286,13850
"Hutchinson County, Texas",21571,4959,15250,474,313,82,122,4,367
"Orange County, Texas",84047,6165,68118,7090,277,1007,0,37,1353
"Winkler County, Texas",7802,4689,2811,159,78,0,0,0,65
"Burnet County, Texas",45750,10120,33745,831,292,383,0,0,379
"Dallas County, Texas",2586552,1033000,765816,572790,5243,158780,1125,4484,45314
"McMullen County, Texas",662,332,326,0,4,0,0,0,0
"Johnson County, Texas",163475,34048,119128,4982,644,1400,607,79,2587
"Hartley County, Texas",5767,1524,3390,492,2,85,0,37,237
"Limestone County, Texas",23515,5101,13816,4058,90,177,63,60,150
"Parker County, Texas",129802,15562,108865,1762,523,644,61,147,2238
"Culberson County, Texas",2241,1646,534,3,0,12,0,0,46
"Garza County, Texas",6288,3272,2562,267,23,137,0,7,20
"Travis County, Texas",1203166,407676,590373,94922,1963,78250,368,2122,27492
"Collingsworth County, Texas",2996,834,1878,195,68,0,0,0,21
"Lamb County, Texas",13262,7325,5252,442,33,72,0,0,138
"Loving County, Texas",102,16,83,0,3,0,0,0,0
"Robertson County, Texas",16890,3481,9728,3276,35,49,22,11,288
"Taylor County, Texas",136348,32869,87125,10287,722,2909,75,289,2072
"Trinity County, Texas",14569,1420,11451,1318,48,147,0,0,185
"Bandera County, Texas",21763,4010,17032,172,88,59,0,17,385
"Cochran County, Texas",2904,1684,1068,96,0,0,0,0,56
"Comal County, Texas",135097,36612,91969,2544,97,1403,45,140,2287
"Houston County, Texas",22955,2511,14185,5676,49,72,0,9,453
"Potter County, Texas",120899,45905,53755,11591,392,6494,96,88,2578
"Scurry County, Texas",17239,6917,9158,837,13,49,0,35,230
"Stonewall County, Texas",1385,256,1075,48,0,0,0,0,6
"Brown County, Texas",37834,8299,27253,1340,140,281,0,0,521
"Bee County, Texas",32691,19152,10392,2535,186,141,4,13,268
"Crane County, Texas",4839,3080,1548,189,3,19,0,0,0
"McCulloch County, Texas",8098,2587,4945,148,2,16,0,251,149
"Lee County, Texas",16952,3970,10773,1889,0,165,0,26,129
"Ellis County, Texas",168838,43737,104141,15820,336,1104,46,159,3495
"Kerr County, Texas",51365,13702,35484,759,117,473,32,114,684
"Falls County, Texas",17299,3987,8878,4153,57,73,7,0,144
"Schoharie County, New York",31364,972,29308,472,49,271,0,1,291
"Onondaga County, New York",464242,22258,357879,50528,2274,17080,105,810,13308
"Clinton County, New York",80794,2310,72705,3297,206,1183,26,203,864
"Seneca County, New York",34612,1158,30873,1617,135,242,0,8,579
"Putnam County, New York",99070,14195,78745,2548,66,1995,24,241,1256
"Franklin County, New York",50692,1759,41423,2915,3618,254,94,48,581
"Ontario County, New York",109472,5058,98548,2503,224,1455,37,219,1428
"Queens County, New York",2298513,643563,581373,396320,5388,576353,799,44832,49885
"Steuben County, New York",96927,1571,90861,1472,102,1484,12,117,1308
"Hamilton County, New York",4575,71,4363,37,16,1,1,0,86
"Washington County, New York",61828,1642,57178,1706,180,347,0,48,727
"Chautauqua County, New York",129656,9585,113526,2975,401,688,55,85,2341
"Kings County, New York",2600747,499279,940759,787705,3667,304870,846,11136,52485
"New York County, New York",1632480,423683,765564,203849,1891,194346,524,5961,36662
"Tioga County, New York",49045,927,46642,292,82,346,0,28,728
"Cayuga County, New York",77868,2232,70280,3241,138,394,0,104,1479
"Orleans County, New York",41175,1961,35622,2457,151,296,21,9,658
"Saratoga County, New York",227377,7059,206104,3489,423,6453,21,313,3515
"Rockland County, New York",323686,56383,204842,36781,382,19077,20,1215,4986
"Columbia County, New York",60919,2827,52771,2564,33,1095,0,94,1535
"Lewis County, New York",26719,456,25607,206,55,145,23,20,207
"Niagara County, New York",211704,6054,181515,14890,2184,2263,75,368,4355
"Westchester County, New York",968815,235243,523474,130640,1464,56806,182,4203,16803
"Delaware County, New York",45502,1742,41958,720,70,363,8,39,602
"Essex County, New York",37751,1133,34773,1080,78,134,8,56,489
"Montgomery County, New York",49426,6766,40461,858,71,394,0,95,781
"Nassau County, New York",1356564,225581,824425,151236,1543,125198,190,7143,21248
"Richmond County, New York",474101,86976,292360,43906,595,40946,132,1026,8160
"Schuyler County, New York",17992,313,17133,162,31,107,0,10,236
"Tompkins County, New York",102962,5156,79657,3808,150,10332,31,365,3463
"Chenango County, New York",48348,1038,45846,429,141,206,0,5,683
"Cortland County, New York",48123,1278,44579,693,111,343,0,93,1026
"Jefferson County, New York",114448,8485,93636,6452,427,1811,208,70,3359
"Oneida County, New York",230782,12892,190102,13748,430,9134,63,163,4250
"Suffolk County, New York",1487901,281315,1013391,108250,2145,56714,305,6011,19770
"Wyoming County, New York",40565,1320,36471,1710,219,155,0,0,690
"Chemung County, New York",85740,2595,74077,4940,282,1240,6,81,2519
"Oswego County, New York",119104,2995,112214,1106,166,767,7,47,1802
"Otsego County, New York",60244,2175,54982,1071,49,816,5,121,1025
"Wayne County, New York",90856,3878,81906,2594,117,594,78,44,1645
"Albany County, New York",307426,17925,223319,35930,322,19867,131,562,9370
"Broome County, New York",194402,7974,162872,10047,339,8209,56,89,4816
"Erie County, New York",919866,49413,696992,119231,4092,31615,247,1276,17000
"Madison County, New York",71359,1547,66547,1158,459,630,73,60,885
"Sullivan County, New York",75211,11836,54110,5706,133,1176,0,323,1927
"Genesee County, New York",58112,1849,52697,1249,501,477,0,43,1296
"Orange County, New York",378227,75705,245605,37246,815,9913,120,1546,7277
"Bronx County, New York",1437872,803636,133874,421275,3476,50906,493,8803,15409
"Fulton County, New York",53743,1581,49973,1058,132,382,15,0,602
"Rensselaer County, New York",159431,7650,133232,9399,81,4113,0,281,4675
"Herkimer County, New York",62505,1309,59147,714,150,322,15,85,763
"St. Lawrence County, New York",109558,2532,100770,2429,828,1125,68,154,1652
"Warren County, New York",64480,1589,60623,816,166,671,32,24,559
"Dutchess County, New York",293894,34970,211310,28478,410,10600,79,1112,6935
"Monroe County, New York",744248,63631,527127,107709,1246,26259,113,1272,16891
"Ulster County, New York",179303,17976,142515,9614,130,3389,131,490,5058
"Livingston County, New York",63907,2223,58112,1696,115,833,22,68,838
"Greene County, New York",47617,2753,40625,2763,233,516,5,166,556
